Description
rl_2

Time;11:57:50.748;11:57:51.446;11:57:52.787;11:57:53.482;11:57:54.468;11:57:55.467;11:57:56.542;11:57:57.593;11:57:58.477;11:57:59.480;11:58:00.495
Global Index;1;2;3;4;5;6;7;8;9;10;11
Phase;;;;;;;;;;;
Phase Record Index;1;2;3;4;5;6;7;8;9;10;11
Integration Time in ms;200;200;200;200;200;200;200;200;200;200;200
Average Count;5;5;5;5;5;5;5;5;5;5;5
314,6;0;30548;30558;30491;30300;30327;30409;30468;30541;30481;30554
317,3;0;25032;25032;24923;24975;24855;25174;24906;25098;24993;25036
320,0;0;18582;18523;18531;18525;18398;18488;18506;18486;18496;18545
322,6;0;12676;12661;12722;12663;12715;12696;12746;12645;12849;12827
325,3;0;8321;8427;8389;8402;8364;8388;8357;8426;8430;8512
328,0;0;5476;5556;5509;5529;5512;5503;5579;5526;5582;5612
330,7;0;3778;3840;3844;3846;3807;3820;3857;3875;3932;3929
333,3;0;2791;2844;2902;2948;2865;2878;2886;2909;2942;2983
336,0;0;2331;2334;2382;2391;2436;2430;2458;2439;2459;2467
338,7;0;2032;2119;2108;2092;2099;2087;2135;2120;2144;2163
341,3;0;1820;1901;1935;1981;1931;1982;1928;1957;1961;2046
344,0;0;1745;1879;1829;1872;1838;1826;1884;1881;1911;1921
346,6;0;1695;1692;1754;1750;1774;1747;1806;1799;1811;1815
349,3;0;1569;1597;1653;1652;1662;1625;1726;1625;1682;1740
352,0;0;1455;1528;1536;1544;1541;1595;1551;1549;1563;1621
354,6;0;1366;1383;1354;1436;1386;1438;1429;1398;1412;1470
357,2;0;1224;1271;1283;1269;1301;1268;1284;1288;1306;1320
359,9;0;1061;1055;1118;1075;1120;1135;1114;1137;1127;1139
362,5;0;919;971;954;997;948;939;986;970;1010;1033
365,2;0;836;801;803;799;827;849;864;832;915;887
367,8;0;723;730;760;755;754;805;763;722;770;786
370,4;0;703;730;735;737;677;680;717;663;716;726
373,0;0;667;662;674;653;639;666;684;667;666;681
375,7;0;592;655;629;641;631;616;636;635;653;647
378,3;0;626;581;625;630;582;618;585;634;666;659
380,9;0;603;609;639;631;610;598;635;637;601;622
383,5;0;577;607;599;589;558;555;592;609;605;598
386,1;0;551;559;569;559;559;581;566;591;563;570
388,7;0;599;590;614;628;586;578;633;614;591;615
391,3;0;618;645;637;630;624;637;659;585;645;649
393,9;0;614;638;629;617;599;619;662;613;634;648
396,5;0;637;617;572;600;579;567;593;625;620;631
399,1;0;618;609;607;583;604;612;584;611;606;608
401,7;0;600;583;559;612;573;574;593;591;627;611
404,3;0;586;594;575;549;571;564;599;577;591;617
406,9;0;562;560;572;544;548;546;568;554;558;557
409,5;0;568;509;540;511;498;548;536;534;513;534
412,0;0;510;513;541;521;525;529;521;504;515;516
414,6;0;480;468;494;510;524;525;534;475;516;484
417,2;0;433;486;421;415;465;466;447;415;451;456
419,7;0;444;451;449;452;451;434;470;444;455;440
422,3;0;411;434;445;415;454;433;441;411;444;419
424,8;0;394;405;388;373;388;379;369;406;405;392
427,4;0;363;360;345;365;377;381;378;354;334;353
429,9;0;381;390;414;407;391;395;407;377;402;403
432,5;0;366;396;411;376;394;347;407;393;431;400
435,0;0;331;338;344;362;315;344;341;337;382;343
437,5;0;342;337;318;335;325;321;346;354;327;355
440,1;0;313;314;343;337;340;327;346;318;329;371
442,6;0;331;306;326;349;318;359;352;359;357;339
445,1;0;306;344;301;333;307;352;342;372;333;331
447,6;0;290;320;311;304;282;344;339;294;353;346
450,1;0;340;324;344;340;346;331;356;332;360;343
452,6;0;329;330;297;313;329;328;353;317;356;354
455,2;0;339;337;314;336;335;361;398;361;369;389
457,7;0;313;308;324;331;338;338;325;301;305;345
460,1;0;299;335;299;338;322;319;338;340;331;380
462,6;0;312;331;337;337;305;354;328;347;354;355
465,1;0;322;303;331;342;318;372;340;331;345;354
467,6;0;354;356;350;338;383;355;345;329;345;389
470,1;0;327;335;326;322;313;346;321;343;365;333
472,6;0;362;368;343;371;349;364;390;376;390;374
475,0;0;340;344;340;345;343;345;360;384;377;370
477,5;0;330;365;371;367;353;377;364;372;354;404
479,9;0;399;418;409;413;387;420;419;425;416;443
482,4;0;370;417;413;415;397;395;396;411;412;421
484,8;0;313;348;374;407;376;405;385;391;382;385
487,3;0;379;436;402;408;414;403;471;394;432;417
489,7;0;358;358;393;414;387;399;413;397;425;407
492,2;0;371;379;403;439;362;421;406;413;416;419
494,6;0;371;408;405;411;439;391;391;410;406;424
497,0;0;387;436;452;456;433;450;428;456;462;436
499,4;0;443;425;480;468;439;459;457;420;453;431
501,8;0;525;497;546;508;490;516;511;499;498;492
504,3;0;625;607;622;606;613;604;615;620;610;620
506,7;0;712;703;681;686;699;687;714;730;698;728
509,1;0;762;808;817;803;804;784;798;810;802;805
511,5;0;777;783;753;736;729;782;788;774;753;810
513,8;0;681;640;678;662;659;660;676;682;673;684
516,2;0;579;591;573;633;584;605;585;578;568;608
518,6;0;518;509;492;531;496;500;493;529;490;517
521,0;0;443;406;406;467;438;408;445;445;426;427
523,3;0;374;385;409;379;357;406;407;390;357;383
525,7;0;397;445;414;367;405;418;394;374;429;399
528,1;0;470;469;468;483;492;460;488;489;483;482
530,4;0;508;535;509;488;508;496;482;482;505;517
532,8;0;578;602;572;611;573;590;591;568;619;561
535,1;0;600;609;598;573;594;610;567;594;574;557
537,4;0;532;514;558;504;548;542;517;526;548;533
539,8;0;322;321;345;324;343;329;323;352;338;324
542,1;0;247;250;262;274;258;273;285;253;257;280
544,4;0;273;263;251;236;220;252;227;261;243;230
546,7;0;302;244;278;277;272;253;304;274;284;299
549,1;0;279;278;342;295;294;284;294;310;333;296
551,4;0;320;322;336;317;335;320;351;310;304;327
553,7;0;299;268;342;326;306;324;306;284;300;309
556,0;0;311;341;313;341;315;331;332;336;332;343
558,2;0;292;306;289;302;256;284;289;284;273;284
560,5;0;319;298;325;323;302;321;328;326;324;304
562,8;0;235;251;232;251;287;261;245;240;256;258
565,1;0;233;281;259;240;217;285;247;239;250;249
567,3;0;258;210;242;222;229;221;238;254;231;238
569,6;0;210;235;219;197;218;218;232;198;214;230
571,8;0;168;176;206;189;167;165;196;153;162;177
